delivery_date,sku_id,total_qty,Date,Open,High,Low,Close
19/10/2021,BK-1216,66,19/10/2021,3195.449951,3205.639893,3185.389893,3199.01001
20/10/2021,BK-1216,87,20/10/2021,3212.669922,3213.330078,3191.889893,3198.080078
21/10/2021,BK-1216,77,21/10/2021,3203.919922,3188.5,3188.5,3188.5
22/10/2021,BK-1216,91,22/10/2021,3195.360107,3205.139893,3205.139893,3205.139893
23/10/2021,BK-1216,171,0,0,0,0,0
24/10/2021,BK-1216,5,0,0,0,0,0
25/10/2021,BK-1216,114,25/10/2021,3202.51001,3209.959961,3197.23999,3201.860107
26/10/2021,BK-1216,77,26/10/2021,3200.22998,3209.290039,3186.280029,3204.570068
27/10/2021,BK-1216,118,27/10/2021,3206.060059,3228.050049,3202.689941,3218.169922
28/10/2021,BK-1216,72,28/10/2021,3220.379883,3227.129883,3196.179932,3203.820068
29/10/2021,BK-1216,84,29/10/2021,3198.169922,3227.030029,3198.169922,3198.169922
30/10/2021,BK-1216,176,0,0,0,0,0
31/10/2021,BK-1216,2,0,0,0,0,0
1/11/2021,BK-1216,125,1/11/2021,3226.22998,3229.090088,3207.709961,3219.050049
2/11/2021,BK-1216,85,2/11/2021,3225.669922,3233,3213.26001,3232.370117
3/11/2021,BK-1216,122,3/11/2021,3234.280029,3236.860107,3216.860107,3219.689941
4/11/2021,BK-1216,102,0,0,0,0,0
5/11/2021,BK-1216,104,5/11/2021,3234.409912,3242.340088,3242.340088,3242.340088
6/11/2021,BK-1216,182,0,0,0,0,0
7/11/2021,BK-1216,2,0,0,0,0,0
8/11/2021,BK-1216,111,8/11/2021,3251.850098,3270.649902,3250.389893,3263.899902
9/11/2021,BK-1216,62,9/11/2021,3267.919922,3273.540039,3239.709961,3243.419922
10/11/2021,BK-1216,91,10/11/2021,3245.189941,3246,3218.310059,3231.320068
11/11/2021,BK-1216,100,11/11/2021,3219.679932,3238.580078,3207.320068,3238.070068
12/11/2021,BK-1216,95,12/11/2021,3244.090088,3248.379883,3226.169922,3228.449951
13/11/2021,BK-1216,181,0,0,0,0,0
14/11/2021,BK-1216,2,0,0,0,0,0
15/11/2021,BK-1216,121,15/11/2021,3228.439941,3241.850098,3222.469971,3240.580078
