delivery_date,sku_id,total_qty
2021/1/11,BK-5308,0
2021/1/11,BK-5313,0
2021/1/11,BK-5316,12
2021/1/11,BK-5317,11
2021/1/11,BK-5322,0
2021/1/11,BK-5324,2
2021/1/11,BK-5328,8
2021/1/11,BK-5329,5
2021/1/11,BK-5330,2
2021/1/11,BK-5331,1
2021/1/11,BK-5332,0
2021/1/11,BK-5333,0
2021/1/11,BK-5334,2
2021/1/11,BK-5335,1
2021/1/11,BK-5337,0
2021/1/11,BK-5338,2
2021/1/11,BK-5339,0
2021/1/11,BK-5342,0
2021/1/11,BK-5348,0
2021/1/11,BK-5349,0
2021/1/11,BK-5350,0
2021/1/11,BK-5351,0
2021/1/11,BK-5440,0
2021/1/11,BK-5442,0
2021/1/11,BK-5443,0
2021/1/11,BK-5444,0
2021/1/11,BK-5445,0
2021/1/11,BK-5446,0
2021/1/11,BK-5447,0
2021/1/11,BK-5448,0
2021/1/11,BK-5449,0
2021/1/11,BK-5450,0
2021/1/11,BK-5451,0
2021/1/11,BK-5452,0
2021/1/11,BK-5453,0
2021/1/11,BK-6101,0
2021/1/11,BK-6220,0
2021/1/11,BK-6221,0
2021/1/11,BK-6222,0
2021/1/11,BK-6311,0
2021/1/11,BK-6320,0
2021/1/11,BK-6321,1
2021/1/11,BK-7812,15
2021/1/11,BK-9507,0
2021/1/11,BK-9508,0
2021/1/11,BK-9509,0
2021/1/11,BK-9511,0
2021/1/11,BK-9515,0
2021/1/11,BK-9516,0
2021/1/11,BK-9517,0
2021/1/11,BK-9518,0
2021/1/11,BK-9519,0
2021/1/11,BK-9520,0
2021/1/11,BK-9521,0
2021/1/11,BK-9522,0
2021/1/11,BK-9526,0
2021/1/11,BK-9528,0
2021/1/12,BK-1135,0
2021/1/12,BK-1211,0
2021/1/12,BK-1214,13
2021/1/12,BK-1215,0
2021/1/12,BK-1216,0
2021/1/12,BK-1217,0
2021/1/12,BK-1218,0
2021/1/12,BK-1320,28
2021/1/12,BK-1332,9
2021/1/12,BK-1333,9
